RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Right	Index Right	Pupil Diameter Right [mm]	Point of Regard Right X [px]	Point of Regard Right Y [px]	AOI Name Right	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
18688325.1	15:00:43:529	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	855	282.5	-	0	0.5	-0.9	-	-	-	-	-	-	-	-
18688333.5	15:00:43:537	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	689.9	478.7	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
18688341.8	15:00:43:545	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	751.4	477.9	-	0	0.3	-0.9	-	-	-	-	-	-	-	-
18688358.4	15:00:43:562	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	850.4	425.9	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
18688366.8	15:00:43:570	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.5	559.5	580.5	-	-0.1	0.3	-0.9	-	-	-	-	-	-	-	-
18688375.1	15:00:43:579	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.5	662.4	490.3	-	0.1	0.4	-0.9	-	-	-	-	-	-	-	-
18688383.5	15:00:43:587	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.5	647.6	502.3	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
18688391.9	15:00:43:595	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.4	659.8	513.7	-	-0.1	0.3	-0.9	-	-	-	-	-	-	-	-
18688400.2	15:00:43:604	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.4	710.6	502.2	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
18688409.2	15:00:43:613	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.4	679.2	502.5	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
18688416.8	15:00:43:620	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.3	679.5	476.7	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
18688425.2	15:00:43:629	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.3	800.4	430	-	0.1	0.4	-0.9	-	-	-	-	-	-	-	-
18688433.5	15:00:43:637	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.2	788.8	451.9	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
18688441.9	15:00:43:645	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.2	819.3	422.7	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
18688450.2	15:00:43:654	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.2	812.9	405.3	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
18688458.6	15:00:43:662	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.1	763.2	421.8	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
18688466.9	15:00:43:670	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.1	719	449.4	-	-0.1	0.3	-0.9	-	-	-	-	-	-	-	-
18688475.2	15:00:43:679	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.1	738.9	431.5	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
18688491.9	15:00:43:695	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5	754	455.1	-	-0.1	0.3	-0.9	-	-	-	-	-	-	-	-
18688500.9	15:00:43:704	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5	703.4	459.5	-	-0.1	0.4	-0.9	-	-	-	-	-	-	-	-
18688508.6	15:00:43:712	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.9	805.1	393.2	-	0.1	0.5	-0.9	-	-	-	-	-	-	-	-
18688516.9	15:00:43:720	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.9	800.1	401.2	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
18688525.3	15:00:43:729	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.9	716.7	429.5	-	-0.1	0.4	-0.9	-	-	-	-	-	-	-	-
18688533.6	15:00:43:737	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.9	824.5	364.2	-	0.1	0.5	-0.9	-	-	-	-	-	-	-	-
18688541.9	15:00:43:745	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.8	790.6	395.9	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
18688550.3	15:00:43:754	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.8	662.1	455.5	-	-0.1	0.4	-0.9	-	-	-	-	-	-	-	-
18688558.7	15:00:43:762	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.8	687.1	463.2	-	-0.1	0.3	-0.9	-	-	-	-	-	-	-	-
18688567	15:00:43:770	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.7	675.7	470.3	-	-0.1	0.3	-0.9	-	-	-	-	-	-	-	-
18688575.3	15:00:43:779	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.7	729.9	378.6	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
18688583.8	15:00:43:787	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.7	652.1	472.1	-	-0.1	0.3	-0.9	-	-	-	-	-	-	-	-
18688591.9	15:00:43:795	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.7	722.7	436.4	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
18688600.3	15:00:43:804	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.7	749.4	405	-	0.1	0.5	-0.9	-	-	-	-	-	-	-	-
18688608.7	15:00:43:812	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.6	765.2	414.3	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
18688617.1	15:00:43:821	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.6	679.7	471.5	-	-0.1	0.3	-0.9	-	-	-	-	-	-	-	-
18688625.3	15:00:43:829	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.6	659.5	492	-	-0.1	0.3	-0.9	-	-	-	-	-	-	-	-
18688633.7	15:00:43:837	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	4.5	663.6	474.8	-	-0.1	0.3	-0.9	-	-	-	-	-	-	-	-
